"ID";"global_id";"District";"Month";"Year";"CurrentQuantityUPD";"CurrentAveragePaymentUPD";"DebtQuantityUPD";"DebtAveragePaymentUPD";
"1";"171563455";"район Арбат";"Март";"2016";"8340";"4421.98";"1444";"4396.35";
"2";"171563456";"Басманный район";"Март";"2016";"35768";"4159.37";"3760";"2710.66";
"3";"171563457";"район Замоскворечье";"Март";"2016";"17553";"3695.76";"3850";"1711.61";
"4";"171563458";"Красносельский район";"Март";"2016";"13052";"4099.45";"1390";"3830.06";
"5";"171563459";"Мещанский район";"Март";"2016";"19308";"3961.91";"1996";"1752.96";
"6";"171563460";"Пресненский район";"Март";"2016";"44786";"3986.23";"6182";"2819.01";
"7";"171563461";"Таганский район";"Март";"2016";"41181";"3911.59";"5008";"2598.88";
"8";"171563462";"Тверской район";"Март";"2016";"26097";"4170.2";"3069";"5298.64";
"9";"171563463";"район Хамовники";"Март";"2016";"31080";"4269.9";"5033";"2972.76";
"10";"171563464";"район Якиманка";"Март";"2016";"7768";"4293.34";"1074";"2021.52";
"11";"171563465";"район Аэропорт";"Март";"2016";"24475";"3451.35";"11379";"1112.01";
"12";"171563466";"район Беговой";"Март";"2016";"13701";"3801.03";"3668";"1455.77";
"13";"171563467";"Бескудниковский район";"Март";"2016";"27709";"3593.48";"4935";"2008.23";
"14";"171563468";"Войковский район";"Март";"2016";"26178";"3421.59";"7456";"1554.83";
"15";"171563469";"район Восточное Дегунино";"Март";"2016";"29217";"3294.79";"5587";"1038.87";
"16";"171563470";"Головинский район";"Март";"2016";"36713";"3351.57";"12114";"1357.23";
"17";"171563471";"Дмитровский район";"Март";"2016";"29159";"3525.57";"6587";"1489.52";
"18";"171563472";"район Западное Дегунино";"Март";"2016";"27367";"3424.03";"6827";"1092.57";
"19";"171563473";"район Коптево";"Март";"2016";"35890";"3534.57";"7695";"1845.93";
"20";"171563474";"район Левобережный";"Март";"2016";"19130";"3286.6";"7953";"983.41";
"21";"171563475";"Савёловский район";"Март";"2016";"21906";"3595.72";"5353";"2247.65";
"22";"171563476";"район Сокол";"Март";"2016";"17788";"3887.42";"7601";"1249.33";
"23";"171563477";"Тимирязевский район";"Март";"2016";"27453";"3501.9";"5922";"1346.13";
"24";"171563478";"район Ховрино";"Март";"2016";"30927";"3436.56";"14912";"765.82";
"25";"171563479";"Хорошёвский район";"Март";"2016";"23820";"3697.97";"7978";"1602.88";
"26";"171563480";"Молжаниновский район";"Март";"2016";"37";"1128.07";"20";"893.91";
"27";"171563481";"Бабушкинский район";"Март";"2016";"28217";"3684.43";"3512";"1421.67";
"28";"171563482";"район Южное Медведково";"Март";"2016";"26674";"3681.18";"3446";"1769.39";
"29";"171563483";"район Марьина Роща";"Март";"2016";"20534";"3605.69";"4535";"1603.88";
"30";"171563484";"район Свиблово";"Март";"2016";"20683";"3656.6";"2169";"3141.5";
"31";"171563485";"Алтуфьевский район";"Март";"2016";"16286";"3589.23";"4126";"1813.08";
"32";"171563486";"район Ростокино";"Март";"2016";"13748";"3581.33";"2303";"1738.6";
"33";"171563487";"Лосиноостровский район";"Март";"2016";"28479";"3497.36";"10830";"655.91";
"34";"171563488";"район Бибирево";"Март";"2016";"48446";"3846.85";"2366";"4057.29";
"35";"171563489";"Бутырский район";"Март";"2016";"20511";"3902.07";"391";"10576.53";
"36";"171563490";"район Марфино";"Март";"2016";"14013";"2607.4";"4835";"710.1";
"37";"171563491";"Останкинский район";"Март";"2016";"20381";"3769.44";"5020";"1512.83";
"38";"171563492";"район Северный";"Март";"2016";"10653";"4173.74";"1790";"2202.48";
"39";"171563493";"район Лианозово";"Март";"2016";"27091";"3932.19";"2142";"5317.02";
"40";"171563494";"Ярославский район";"Март";"2016";"26817";"3298.38";"3462";"1762.58";
"41";"171563495";"район Северное Медведково";"Март";"2016";"38837";"3812.34";"9480";"992.43";
"42";"171563496";"Алексеевский район";"Март";"2016";"25609";"3602.29";"3196";"1411.28";
"43";"171563497";"район Отрадное";"Март";"2016";"57348";"3738.73";"8071";"1845.46";
"44";"171563498";"район Богородское";"Март";"2016";"41010";"3482.43";"6383";"1758.91";
"45";"171563499";"район Вешняки";"Март";"2016";"23290";"3595.76";"4120";"1244.43";
"46";"171563500";"район Восточное Измайлово";"Март";"2016";"58141";"3671.21";"1858";"3072.57";
